,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-3.03440e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.03360e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.03280e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.03200e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.03120e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.03040e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.02960e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02880e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02800e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02720e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02640e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02560e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.02480e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02400e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02320e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02240e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02160e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02080e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.02000e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01920e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01840e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01760e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.01680e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.01600e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01520e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01440e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01360e-02,-4.00e-02,9.40e+00,0.00e+00,9.60e+00, 
-3.01280e-02,-8.00e-02,9.20e+00,-2.00e-01,9.20e+00, 
-3.01200e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01120e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.01040e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.00960e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.00880e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.00800e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.00720e-02,0.00e+00,9.20e+00,0.00e+00,9.60e+00, 
-3.00640e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.00560e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.00480e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.00400e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
